Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
DeAndre Jordan,2017,14,5,7,.714,0,0,,4,13,.308,3,7,10,0,1,0,1,4
DeAndre Jordan,2017,6,3,5,.600,0,0,,0,0,,4,10,14,3,1,0,3,3
DeAndre Jordan,2017,15,6,7,.857,0,0,,3,16,.188,3,9,12,0,2,0,0,1
DeAndre Jordan,2017,20,9,11,.818,0,0,,2,5,.400,5,8,13,1,1,0,0,4
DeAndre Jordan,2017,5,1,2,.500,0,0,,3,5,.600,1,10,11,0,2,0,1,2
DeAndre Jordan,2017,19,6,7,.857,0,0,,7,10,.700,5,15,20,4,3,1,0,4
DeAndre Jordan,2017,12,5,9,.556,0,1,.000,2,2,1.000,1,6,7,1,2,0,3,3
DeAndre Jordan,2017,22,9,12,.750,0,0,,4,5,.800,2,15,17,2,2,0,2,3
DeAndre Jordan,2017,,,,,,,,,,,,,,,,,,
DeAndre Jordan,2017,13,4,5,.800,0,0,,5,11,.455,5,12,17,2,0,1,0,0
DeAndre Jordan,2017,14,7,9,.778,0,0,,0,0,,3,7,10,0,3,0,0,1
DeAndre Jordan,2017,12,6,9,.667,0,0,,0,0,,6,5,11,1,2,0,1,1
DeAndre Jordan,2017,14,6,6,1.000,0,0,,2,4,.500,6,12,18,1,2,0,0,4
DeAndre Jordan,2017,7,3,5,.600,0,0,,1,3,.333,6,9,15,1,1,0,0,4
DeAndre Jordan,2017,20,8,10,.800,0,0,,4,7,.571,1,10,11,0,1,1,0,1
DeAndre Jordan,2017,23,8,9,.889,0,0,,7,12,.583,5,13,18,1,2,1,2,4
DeAndre Jordan,2017,7,3,6,.500,0,0,,1,4,.250,6,11,17,2,3,0,2,3
DeAndre Jordan,2017,11,4,4,1.000,0,0,,3,8,.375,1,11,12,1,2,4,3,2
DeAndre Jordan,2017,11,4,5,.800,0,0,,3,8,.375,3,17,20,1,0,2,2,1
DeAndre Jordan,2017,17,8,10,.800,0,0,,1,4,.250,5,12,17,2,0,1,0,2
DeAndre Jordan,2017,,,,,,,,,,,,,,,,,,
